anime_id,en_title,year
11239,,2012.0
967,Fist of the North Star,1984.0
1695,,2007.0
339,Serial Experiments Lain,1998.0
7724,Shiki,2010.0
2753,Who's Left Behind?,1991.0
8516,Baka & Test – Summon the Beasts 2,2011.0
779,Case Closed The Movie: The Time Bombed Skyscraper,1997.0
1366,,2003.0
19319,Gundam Build Fighters,2013.0
187,,2001.0
597,The Cat Returns,2002.0
400,Outlaw Star,1998.0
18245,White Album 2,2013.0
10521,Wagnaria!!2,2011.0
28907,GATE,2015.0
31637,GATE Part 2,2016.0
1571,Ghost Hunt,2006.0
267,Gungrave,2003.0
253,Haré+Guu,2001.0
4080,,2008.0
27947,Lupin the Third Part 4,2015.0
12917,Daisy: A Hen into the Wild,2011.0
3750,Maria Watches Over Us Season 4,2009.0
569,The Irresponsible Captain Tylor,1993.0
15771,Saint☆Young Men (Movie),2013.0
397,Banner of the Stars II,2001.0
11001,Library Wars: The Wings of Revolution,2012.0
17909,The Eccentric Family,2013.0
21185,,2014.0
9724,Broken Blade 5,2011.0
12413,Jormungand,2012.0
2076,The File of Young Kindaichi,1997.0
31251,Mobile Suit Gundam: Iron-Blooded Orphans,2015.0
5485,Mazinger Edition Z: The Impact!,2009.0
5005,,2008.0
890,King of Braves GaoGaiGar,1997.0
269,Bleach,2004.0
14741,"Love, Chunibyo & Other Delusions!",2012.0
1472,,1989.0
33028,Danganronpa 3: The End of Hope's Peak High School - Despair Arc,2016.0
6033,Dragon Ball Z Kai,2009.0
19703,Kyousougiga,2013.0
25517,,2014.0
31764,Alderamin on the Sky,2016.0
27775,Plastic Memories,2015.0
21339,Psycho-Pass: The Movie,2015.0
2104,My Bride is a Mermaid,2007.0
24893,Knights of Sidonia: Battle for Planet Nine,2015.0
2150,,1990.0
12445,Dusk Maiden of Amnesia,2012.0
543,Vampire Hunter D: Bloodlust,2000.0
9252,Broken Blade 3,2010.0
1505,,2005.0
4447,,2008.0
317,,2005.0
22265,Free! - Eternal Summer,2014.0
13117,Hakuoki ~Demon of the Fleeting Blossom~ Wild Dance of Kyoto,2013.0
16904,K: Missing Kings,2014.0
97,Last Exile,2003.0
2273,Mobile Suit Gundam Wing: Endless Waltz,1998.0
1735,Naruto Shippuden,2007.0
12403,YuruYuri: Happy Go Lily ♪♪,2012.0
31646,March Comes In Like a Lion,2016.0
32998,91 Days,2016.0
30123,Snow White with the Red Hair,2015.0
31339,Drifters,2016.0
2890,Ponyo,2008.0
468,Ghost in the Shell 2: Innocence,2004.0
29755,Haikyu!! the Movie: The End and the Beginning,2015.0
516,Sgt. Frog,2004.0
1425,,1977.0
5310,Macross Frontier: The False Songstress,2009.0
93,Mobile Suit Gundam SEED,2002.0
322,Paradise Kiss,2005.0
7588,House of Five Leaves,2010.0
1172,,1997.0
2265,,
23249,Space Battleship Yamato 2199: Odyssey of the Celestial Ark,2014.0
202,Wolf's Rain,2003.0
9919,Blue Exorcist,2011.0
1818,Claymore,2007.0
10090,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,2011.0
17895,Golden Time,2013.0
1824,Barefoot Gen,1983.0
10357,Humanity Has Declined,2012.0
19489,Little Witch Academia: The Enchanted Parade,2015.0
19613,Initial D Legend 1 Awakening,2014.0
5530,Pandora Hearts,2009.0
10218,Berserk: The Golden Age Arc I - The Egg of the King,2012.0
388,,2005.0
28999,Charlotte,2015.0
1473,,1991.0
1379,,2005.0
23293,Lupin the Third: Jigen's Gravestone,2014.0
33221,Mobile Suit Gundam Thunderbolt: December Sky,2016.0
31592,Pokémon the Series: XYZ,2015.0
7193,,2009.0
1961,,2005.0
21405,The Kawai Complex Guide to Manors and Hostel Behavior,2014.0
6024,Chi's New Address,2009.0
2761,The Ideon: Be Invoked,1982.0
1491,Galaxy Express 999,1978.0
106,Hana Yori Dango,1996.0
5835,Hanasakeru Seishonen,2009.0
3604,Hidamari Sketch x 365,2008.0
2828,Nobody's Boy Remi,1977.0
4087,Michiko & Hatchin,2008.0
28881,Initial D Legend 2 Racer,2015.0
21473,Persona 3 the Movie: #2 Midsummer Knight's Dream,2014.0
582,,1998.0
8311,Tegami Bachi: Letter Bee Reverse,2010.0
21995,Blue Spring Ride,2014.0
532,Sailor Moon S,1994.0
552,Digimon: Digital Monsters,1999.0
7645,,2010.0
249,InuYasha,2000.0
451,InuYasha the Movie 3: Swords of an Honorable Ruler,2003.0
433,The Place Promised in Our Early Days,2004.0
80,Mobile Suit Gundam,1979.0
1092,Mobile Suit Gundam III: Encounters in Space,1982.0
1921,Urusei Yatsura Movie 2: Beautiful Dreamer,1984.0
1562,The Wallflower,2006.0
11111,Another,2012.0
11737,Blue Exorcist: The Movie,2012.0
28249,The Heroic Legend of Arslan,2015.0
13535,Good Luck Girl!,2012.0
28121,Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015.0
251,,2004.0
18153,Beyond the Boundary,2013.0
875,,2004.0
795,Dear Brother,1991.0
29830,,2015.0
16870,Naruto Shippuden the Movie 7: The Last,2014.0
479,The Law of Ueki,2005.0
15197,Code Geass: Akito the Exiled - The Wyvern Divided,2013.0
32189,Danganronpa 3: The End of Hope's Peak High School - Future Arc,2016.0
31859,Grimgar: Ashes and Illusions,2016.0
570,Jin-Roh: The Wolf Brigade,2000.0
5680,K-ON!,2009.0
2175,,2007.0
1887,Lucky☆Star,2007.0
90,Mobile Suit Gundam Wing,1995.0
2594,The Piano Forest,2007.0
210,Ranma ½,1989.0
19775,Knights of Sidonia,2014.0
534,Slayers,1995.0
2582,Armored Trooper Votoms,1983.0
407,Detective School Q,2003.0
6213,A Certain Scientific Railgun,2009.0
1000,Space Pirate Captain Harlock,1978.0
1375,My Daddy Long Legs,1990.0
8514,Broken Blade 2,2010.0
951,,1990.0
12117,,2012.0
2508,Genshiken 2,2007.0
19115,Giovanni's Island,2014.0
396,Banner of the Stars,2000.0
20057,Space Dandy,2014.0
9074,Arakawa Under the Bridge x Bridge,2010.0
226,Elfen Lied,2004.0
2405,,1988.0
10460,You and Me.,2011.0
444,Maria Watches Over Us: Printemps,2004.0
15315,"Problem Children Are Coming from Another World, Aren't They?",2013.0
1699,Romeo x Juliet,2007.0
29829,,2015.0
30868,Ajin: Demi-Human Movie 1: Compel,2015.0
22199,Akame ga Kill!,2014.0
14941,AKB0048: Next Stage,2013.0
14735,,2013.0
20431,Hozuki's Coolheadedness,2014.0
1462,,1995.0
13667,Naruto Shippuden the Movie 6: Road to Ninja,2012.0
28927,Seraph of the End: Battle in Nagoya,2015.0
20847,,2014.0
2451,Space Adventure Cobra,1982.0
8937,A Certain Magical Index II,2010.0
12883,tsuritama,2012.0
30413,,2015.0
6347,Baka & Test - Summon the Beasts,2010.0
3841,,2008.0
8086,The Legend of the Legendary Heroes,2010.0
33082,Kingsglaive: Final Fantasy XV,2016.0
1096,Mobile Police Patlabor 2: The Movie,1993.0
14407,Persona 3 the Movie: #1 Spring of Birth,2013.0
290,Crest of the Stars,1999.0
154,Shaman King,2001.0
11757,Sword Art Online,2012.0
5074,Birdy the Mighty: Decode 02,2009.0
31733,Pretty Guardian Sailor Moon Crystal Season III,2016.0
1690,Bokurano,2007.0
10092,Broken Blade 6,2011.0
9785,,2005.0
18055,Hakkenden -Eight Dogs of the East- Season 2,2013.0
27991,K: Return of Kings,2015.0
3545,,1996.0
1211,,1995.0
9510,,2011.0
6956,Wagnaria!!,2010.0
9441,,2010.0
233,,2000.0
2397,Digimon: The Movie,2000.0
345,Emma: A Victorian Romance,2005.0
71,Full Metal Panic!,2002.0
10793,Guilty Crown,2011.0
9760,Children Who Chase Lost Voices,2011.0
160,"Now and Then, Here and There",1999.0
3713,Hell Girl: Three Vessels,2008.0
2593,The Garden of Sinners Chapter 1: Overlooking View,2007.0
2454,Kimagure Orange Road: I Want to Return to That Day,1988.0
2963,,2007.0
87,Mobile Suit Gundam: Char's Counterattack,1988.0
20,Naruto,2002.0
31953,New Game!,2016.0
150,Blood+,2005.0
60,Chrono Crusade,2003.0
120,Fruits Basket,2001.0
74,Gakuen Alice,2004.0
30364,Haikyuu!! the Movie: The Winner and the Loser,2015.0
8426,Wandering Son,2011.0
2547,A Little Princess Sara,1985.0
22101,The World is Still Beautiful,2014.0
182,The Vision of Escaflowne,1996.0
16011,Tokyo Ravens,2013.0
22819,,2014.0
477,Aria the Animation,2005.0
6772,Broken Blade,2010.0
2229,,1991.0
6927,Eden of The East Compilation: Air Communication; Higashi no Eden Recap,2009.0
228,Hell Girl,2005.0
30952,Initial D Legend 3: Dream,2016.0
24135,,2014.0
12021,Poyopoyo,2012.0
17249,,2013.0
18119,Servant x Service,2013.0
2787,Shakugan no Shana: Season II,2007.0
6046,Tales of Vesperia ~The First Strike~,2009.0
9000,The Princess and the Pilot,2011.0
10717,Towanoquon: Eternal Quon,2011.0
31580,Ajin: Demi-Human,2016.0
531,Sailor Moon R: The Movie - The Promise of the Rose,1993.0
4725,Ga-Rei-Zero,2008.0
6637,Eden of The East the Movie II: Paradise Lost,2010.0
14511,,2013.0
10389,A Letter to Momo,2012.0
7592,Nura: Rise of the Yokai Clan,2010.0
32729,Orange,2016.0
2112,,2007.0
65,Rozen Maiden: Träumend,2005.0
2499,,1995.0
3470,Special A (S.A),2008.0
26,Texhnolyze,2003.0
1293,Urusei Yatsura,1981.0
856,Utawarerumono,2006.0
2214,,2006.0
32108,Digimon Adventure tri. Determination,2016.0
123,Mysterious Play,1995.0
488,Strawberry Marshmallow,2005.0
3603,JoJo's Bizarre Adventure: Phantom Blood,2007.0
464,One Piece: Baron Omatsuri and the Secret Island,2005.0
9745,Sengoku Basara - Samurai Kings: The Movie,2011.0
21843,Rage of Bahamut: Genesis,2014.0
14227,My Little Monster,2012.0
997,Sailor Moon S Movie: Hearts in Ice,1994.0
31478,Bungo Stray Dogs,2016.0
